"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Charles Gates Dawes","","Dawes","Charles Gates","2","1865-08-27","1925","59","Marietta, OH","1951-04-23","false","peace","USA","male","US","","none",""
"Sir Austen Chamberlain","","Chamberlain","Sir Austen","2","1863-10-16","1925","61","Birmingham","1937-03-16","false","peace","United Kingdom","male","GB","","none",""
"Gustav Ludwig Hertz","for their discovery of the laws governing the impact of an electron upon an atom","Hertz","Gustav Ludwig","2","1887-07-22","1925","37","Hamburg","1975-10-30","false","physics","Germany","male","DE","Halle","Halle University","Germany"
"James Franck","for their discovery of the laws governing the impact of an electron upon an atom","Franck","James","2","1882-08-26","1925","42","Hamburg","1964-05-21","false","physics","Germany","male","DE","Göttingen","Goettingen University","Germany"
"The (Theodor) Svedberg","for his work on disperse systems","Svedberg","The (Theodor)","1","1884-08-30","1926","41","Fleräng","1971-02-25","false","chemistry","Sweden","male","SE","Uppsala","Uppsala University","Sweden"
"Grazia Deledda","for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general","Deledda","Grazia","1","1871-09-27","1926","54","Nuoro, Sardinia","1936-08-15","false","literature","Italy","female","IT","","none",""
"Johannes Andreas Grib Fibiger","for his discovery of the Spiroptera carcinoma","Fibiger","Johannes Andreas Grib","1","1867-04-23","1926","58","Silkeborg","1928-01-30","false","medicine","Denmark","male","DK","Copenhagen","Copenhagen University","Denmark"
"Gustav Stresemann","","Stresemann","Gustav","2","1878-05-10","1926","47","Berlin","1929-10-03","false","peace","Germany","male","DE","","none",""
"Aristide Briand","","Briand","Aristide","2","1862-03-28","1926","63","Nantes","1932-03-07","false","peace","France","male","FR","","none",""
"Jean Baptiste Perrin","for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium","Perrin","Jean Baptiste","1","1870-09-30","1926","55","Lille","1942-04-17","false","physics","France","male","FR","Paris","Sorbonne University","France"
"Heinrich Otto Wieland","for his investigations of the constitution of the bile acids and related substances","Wieland","Heinrich Otto","1","1877-06-04","1927","49","Pforzheim","1957-08-05","false","chemistry","Germany","male","DE","Munich","Munich University","Germany"
"Henri Bergson","in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented","Bergson","Henri","1","1859-10-18","1927","67","Paris","1941-01-04","false","literature","France","male","FR","","none",""
"Julius Wagner-Jauregg","for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica","Wagner-Jauregg","Julius","1","1857-03-07","1927","69","Wels","1940-09-27","false","medicine","Austria","male","AT","Vienna","Vienna University","Austria"
"Ludwig Quidde","","Quidde","Ludwig","2","1858-03-23","1927","68","Bremen","1941-03-04","false","peace","Germany","male","DE","","none",""
"Ferdinand Buisson","","Buisson","Ferdinand","2","1841-12-20","1927","85","Paris","1932-02-16","false","peace","France","male","FR","","none",""
"Arthur Holly Compton","for his discovery of the effect named after him","Compton","Arthur Holly","2","1892-09-10","1927","34","Wooster, OH","1962-03-15","false","physics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Charles Thomson Rees Wilson","for his method of making the paths of electrically charged particles visible by condensation of vapour","Wilson","Charles Thomson Rees","2","1869-02-14","1927","57","Glencorse","1959-11-15","false","physics","Scotland","male","GB","Cambridge","Cambridge","United Kingdom"
"Adolf Otto Reinhold Windaus","for the services rendered through his research into the constitution of the sterols and their connection with the vitamins","Windaus","Adolf Otto Reinhold","1","1876-12-25","1928","51","Berlin","1959-06-09","false","chemistry","Germany","male","DE","Göttingen","Goettingen University","Germany"
"Sigrid Undset","principally for her powerful descriptions of Northern life during the Middle Ages","Undset","Sigrid","1","1882-05-20","1928","45","Kalundborg","1949-06-10","false","literature","Denmark","female","DK","","none",""
"Charles Jules Henri Nicolle","for his work on typhus","Nicolle","Charles Jules Henri","1","1866-09-21","1928","61","Rouen","1936-02-28","false","medicine","France","male","FR","Tunis","Institut Pasteur",""
"Owen Willans Richardson","for his work on the thermionic phenomenon and especially for the discovery of the law named after him","Richardson","Owen Willans","1","1879-04-26","1928","48","Dewsbury","1959-02-15","false","physics","United Kingdom","male","GB","London","London University","United Kingdom"
"Hans Karl August Simon von Euler-Chelpin","for their investigations on the fermentation of sugar and fermentative enzymes","von Euler-Chelpin","Hans Karl August Simon","2","1873-02-15","1929","55","Augsburg","1964-11-06","false","chemistry","Germany","male","DE","Stockholm","Stockholm University","Sweden"
"Arthur Harden","for their investigations on the fermentation of sugar and fermentative enzymes","Harden","Arthur","2","1865-10-12","1929","63","Manchester","1940-06-17","false","chemistry","United Kingdom","male","GB","London","London University","United Kingdom"
"Thomas Mann","principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature","Mann","Thomas","1","1875-06-06","1929","53","Lübeck","1955-08-12","false","literature","Germany","male","DE","","none",""
"Sir Frederick Gowland Hopkins","for his discovery of the growth-stimulating vitamins","Hopkins","Sir Frederick Gowland","2","1861-06-20","1929","67","Eastbourne","1947-05-16","false","medicine","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Christiaan Eijkman","for his discovery of the antineuritic vitamin","Eijkman","Christiaan","2","1858-08-11","1929","70","Nijkerk","1930-11-05","false","medicine","the Netherlands","male","NL","Utrecht","Utrecht University","the Netherlands"
"Frank Billings Kellogg","","Kellogg","Frank Billings","1","1856-12-22","1929","72","Potsdam, NY","1937-12-21","false","peace","USA","male","US","","none",""
"Prince Louis-Victor Pierre Raymond de Broglie","for his discovery of the wave nature of electrons","de Broglie","Prince Louis-Victor Pierre Raymond","1","1892-08-15","1929","36","Dieppe","1987-03-19","false","physics","France","male","FR","Paris","Sorbonne University, Institut Henri Poincaré","France"
"Hans Fischer","for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin","Fischer","Hans","1","1881-07-27","1930","48","Hoechst","1945-03-31","false","chemistry","Germany","male","DE","Munich","Technische Hochschule (Institute of Technology)","Germany"
"Sinclair Lewis","for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters","Lewis","Sinclair","1","1885-02-07","1930","44","Sauk Centre, MN","1951-01-10","false","literature","USA","male","US","","none",""
"Karl Landsteiner","for his discovery of human blood groups","Landsteiner","Karl","1","1868-06-14","1930","61","Vienna","1943-06-26","false","medicine","Austrian Empire (now Austria)","male","AT","New York, NY","Rockefeller","USA"
"Lars Olof Jonathan (Nathan) Söderblom","","Söderblom","Lars Olof Jonathan (Nathan)","1","1866-01-15","1930","63","Trönö","1931-07-12","false","peace","Sweden","male","SE","","none",""
"Sir Chandrasekhara Venkata Raman","for his work on the scattering of light and for the discovery of the effect named after him","Raman","Sir Chandrasekhara Venkata","1","1888-11-07","1930","41","Tiruchirappalli","1970-11-21","false","physics","India","male","IN","Calcutta","Calcutta University","India"
"Friedrich Bergius","in recognition of their contributions to the invention and development of chemical high pressure methods","Bergius","Friedrich","2","1884-10-11","1931","46","Goldschmieden, near Breslau","1949-03-30","false","chemistry","Germany (now Poland)","male","PL","Heidelberg","University of Heidelberg","Germany"
"Carl Bosch","in recognition of their contributions to the invention and development of chemical high pressure methods","Bosch","Carl","2","1874-08-27","1931","56","Cologne","1940-04-26","false","chemistry","Germany","male","DE","Heidelberg","University of Heidelberg","Germany"
"Erik Axel Karlfeldt","The poetry of Erik Axel Karlfeldt","Karlfeldt","Erik Axel","1","1864-07-20","1931","66","Karlbo","1931-04-08","false","literature","Sweden","male","SE","","none",""
"Otto Heinrich Warburg","for his discovery of the nature and mode of action of the respiratory enzyme","Warburg","Otto Heinrich","1","1883-10-08","1931","47","Freiburg im Breisgau","1970-08-01","false","medicine","Germany","male","DE","Berlin-Dahlem","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie","Germany"
"Nicholas Murray Butler","","Butler","Nicholas Murray","2","1862-04-02","1931","68","Elizabeth, NJ","1947-12-07","false","peace","USA","male","US","New York, NY","Columbia","USA"
"Jane Addams","","Addams","Jane","2","1860-09-06","1931","70","Cedarville, IL","1935-05-21","false","peace","USA","female","US","","none",""
"Irving Langmuir","for his discoveries and investigations in surface chemistry","Langmuir","Irving","1","1881-01-31","1932","50","Brooklyn, NY","1957-08-16","false","chemistry","USA","male","US","Schenectady, NY","General Electric Company","USA"
"John Galsworthy","for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>","Galsworthy","John","1","1867-08-14","1932","64","Kingston Hill","1933-01-31","false","literature","United Kingdom","male","GB","","none",""
"Sir Charles Scott Sherrington","for their discoveries regarding the functions of neurons","Sherrington","Sir Charles Scott","2","1857-11-27","1932","74","London","1952-03-04","false","medicine","United Kingdom","male","GB","Oxford","University of Oxford","United Kingdom"
"Edgar Douglas Adrian","for their discoveries regarding the functions of neurons","Adrian","Edgar Douglas","2","1889-11-30","1932","42","London","1977-08-08","false","medicine","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Werner Karl Heisenberg","for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen","Heisenberg","Werner Karl","1","1901-12-05","1932","30","Würzburg","1976-02-01","false","physics","Germany","male","DE","Leipzig","Leipzig University","Germany"
